"Site","Channel","Date (UTC)","Value"
"SS16/1","T648 C1:TEMP","1481160927986","41.0"
"SS16/1","T648 C1:TEMP","1481180028686","43.0"
"SS16/1","T648 C1:TEMP","1481182137386","41.0"
"SS16/1","T648 C1:TEMP","1481193298286","43.0"
"SS16/1","T648 C1:TEMP","1481193717696","41.0"
"SS16/1","T648 C1:TEMP","1481194126286","43.0"
"SS16/1","T648 C1:TEMP","1481198509296","41.0"
"SS16/1","T648 C1:TEMP","1481199768386","43.0"
"SS16/1","T648 C1:TEMP","1481201492786","41.0"
"SS16/1","T648 C1:TEMP","1481201494586","43.0"
"SS16/1","T648 C1:TEMP","1481201723206","41.0"
"SS16/1","T648 C1:TEMP","1481202209196","39.0"
"SS16/1","T648 C1:TEMP","1481203258586","37.0"
"SS16/1","T648 C1:TEMP","1481208814286","39.0"
"SS16/1","T648 C1:TEMP","1481211373896","37.0"
"SS16/1","T648 C1:TEMP","1481215815396","39.0"
"SS16/1","T648 C1:TEMP","1481218046486","41.0"
"SS16/1","T648 C1:TEMP","1481219339786","39.0"
"SS16/1","T648 C1:TEMP","1481223386186","41.0"
"SS16/1","T648 C1:TEMP","1481229061586","39.0"
"SS16/1","T648 C1:TEMP","1481249503286","41.0"
"SS16/1","T648 C1:TEMP","1481268198986","43.0"
"SS16/1","T648 C1:TEMP","1481272005096","41.0"
"SS16/1","T648 C1:TEMP","1481273153486","43.0"
"SS16/1","T648 C1:TEMP","1481275978586","41.0"
"SS16/1","T648 C1:TEMP","1481296762286","43.0"
"SS16/1","T648 C1:TEMP","1481306077286","41.0"
"SS16/1","T648 C1:TEMP","1481309336186","39.0"
"SS16/1","T648 C1:TEMP","1481309980586","37.0"
"SS16/1","T648 C1:TEMP","1481311031786","39.0"
"SS16/1","T648 C1:TEMP","1481312412386","37.0"
"SS16/1","T648 C1:TEMP","1481313522096","39.0"
"SS16/1","T648 C1:TEMP","1481315211386","41.0"
"SS16/1","T648 C1:TEMP","1481321908296","39.0"
"SS16/1","T648 C1:TEMP","1481342353596","41.0"
